Unique ID,Post,Labels Set
1346,पुलिसकर्मी डांस करते हुए डेड बॉडी को ले जा रहे हैं,fake
3488,"#KarnatakaCrisis : @INCIndia के 2 और विधायकों का इस्तीफा, MLA सुधाकर के साथ कांग्रेस नेताओं ने की मारपीट

#Karnataka 
https://t.co/OsB9h6AaH4",non-hostile
3341,"आज दुनिया भविष्य में तेजी से बदलते Jobs, Nature of Work को लेकर चर्चा कर रही है।

ये पॉलिसी देश के युवाओं को भविष्य की आवश्यकताओं के मुताबिक knowledge और skills, दोनों मोर्चों पर तैयार करेगी: PM",non-hostile
4672,"2 अक्टूबर को मुझे छुट्टी नहीं चाहिए क्योंकि देश की बर्बादी गाँधी ने की थी,जीते पटेल जी थे एक वोट से, 
😡
पर PM गद्दार नेहरू को बनाया..🤔",hate
1537,"मुसलमानो ने गाय के मुँह में बम फोड़ दिया और उसे मरने की हालत में छोड़ गए।

स्थानीय मुसलमानों ने एक गाय को बम खिलाया था और विस्फोट होने के कारण इस गाय का जबड़ा उड़ गया था ।

",fake
3980,"जब से 
@RahulGandhi
 ने चीन के राजदूत से मुलाक़ात की है तभी से चीन में उइगर मुस्लिमों पर अत्याचार बढ़ा है...
मूस्लिमो की अपनी पार्टी होकर भी 
@INCIndia
 ने इस अत्याचार के खिलाफ कोई आवाज नही उठायी है, इस दुष्टता का बदला मुस्लिम भाइयों को 2019 में कांग्रेस से लेना ही चाहिए 😛","defamation,offensive"
142,"लखनऊ यूनिवर्सिटी की स्नातक अंतिम वर्ष की परीक्षाएं शुरू, जानें- क्या हैं स्टूडेंट्स की समस्याएं

https://t.co/A0sLp0zQzH",non-hostile
1881,"मीडिया के एक भाग में केंद्रीय मंत्री अरुण जेटली के स्वस्थ्य को लेकर जो रिपोर्ट्स हैं वो गलत और निराधार हैं | मीडिया से निवेदन है की अफ़वाह फ़ैलाने से बचें |

अरुण जेटली का निधन हो गया

",fake
2320,"14 सितंबर से शुरू होने वाले मानसून सत्र में प्रश्न काल को कैंसिल किये जाने पर भड़के तृणमूल सांसद @derekobrienmp 
#MonsoonSession 

https://t.co/qLd4dCHDlw",non-hostile
2579,"#Kanpur प्रेमी के धोखाधड़ी से आहत प्रेमिका ने फांसी लगाकर की आत्महत्या, युवक ने प्रेमिका को शादी के लिए टरकाया, युवक ने शादी के लिए 7 लाख रूपए की मांगने की, प्रेमी को कोर्ट बुलाकर खुद नहीं पहुंचता था युवक, नौबस्ता के केशव नगर का मामला। @kanpurnagarpol @adgzonekanpur @Uppolice",non-hostile
2037,"कश्मीर में कहां है शान्ती ????????? दलाल मीडिया दिखाता क्यो नही????

",fake
96,"ये रहा आईपीएल-2020 का शेड्यूल. देख लीजिए, आपकी फ़ेवरेट टीम का मैच किस-किस दिन है. https://t.co/OKP1e8dcmY https://t.co/XcWxiFGBgD",non-hostile
509,"तुम उतने ही बच्चे पैदा करो जितनो को दूध पिला सको,
शिवलिंग पर कितना दूध चढ़ाना है 
ये हम तय करेंगे तुम नहीं.😡👍",offensive
5205,"आरा: मामूली विवाद में दो पक्षों में जमकर मारपीट और गोलीबारी, पुलिस ने 3 लोगों को किया गिरफ्तार

#Bihar #Ara #Police 

https://t.co/AK1w4uenTV",non-hostile
4774,टिक टोक बैन होने के बाद आजकल हर टिकटोकिया यही कह रहा है मियाँ।😃,fake
4149,@UtkarshBaudh3 @rashtrapatibhvn @sakshijoshii @ravishndtv @bainjal @rajnathsingh @pappuyadavjapl @khanumarfa @ShivChandraRamm @globaltimesnews @narendramodi किसी भी देश के रक्षा मंत्री आर्मी अफसर अपने जवान से इस तरह की घिनौना काम करवाते हुए जूता के फीता बनवाते हुए तस्वीर दिखा दे मैं गर्दन काट के तुम्हारे चरणों में रख दूंगी इंडिया में अंग्रेज की नाजायज पैदाइश इनकी आदत पड़ गई है हराम की खाने की खुद से कुछ नहीं करने की,"defamation,hate,offensive"
619,"आवश्यक सेवाओं हेतु कुल 4,35,019 वाहनों को परमिट जारी किए गए हैं: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी",non-hostile
3940,"इन सर्दियों में सोने-चांदी में लगेगी आग, जानिए आखिर क्या रहेगी इसकी वजह !
https://t.co/jsKr1QWZYo via @NavbharatTimes 
#Gold #Silver https://t.co/3Xmn7lxD6Y",non-hostile
3782,"भारत ने जम्मू-कश्मीर का मुद्दा हमेशा के लिए यूएनएससी से हटाने को कहा

#India
#Pakistan
#UNSC
#Jammukashmir 

https://t.co/BDyKzctt5i",non-hostile
99,"कोरोना के रिकॉर्ड मामलों के बीच राहत, एक महीने में कम हुई 0.45 फीसदी मृत्‍यु दर -
#CoronaOutbreak 

https://t.co/Dt8gJpzTdv",non-hostile
774,@shaktisinhgohil @Saifullahk12 ना आपके कहने से फेसबुक गलत होगी ना बीजेपी की कहने से गलत हो आम जनता के लिए फेसबुक सही रहे आम जनता की मुद्दा में सहयोग फेसबुक करें बस किसी पार्टी की सहयोग के लिए  खड़ा ना दिखे,defamation
3617,"PUBG को टक्कर देने आ रहे अक्षय कुमार के FAU-G में क्या है ख़ास?
स्टोरी: टीम बीबीसी हिन्दी 
आवाज़: आदर्श राठौर https://t.co/jiIm9QxEMT",non-hostile
3917,"ये अम्मा कांग्रेस की रजिस्टर्ड दुखियारी है।

तस्वीरों में अलग अलग कांग्रेस नेताओं के साथ दिख रही वृद्ध महिला एक ही है

",fake
1202,लोगों से अपील है कि समीर एप को डाउनलोड करें: प्रकाश जावडेकर,non-hostile
2084,"#IndiaChinaBorderClash: सीमा पर भारत और चीन के सैनिकों के बीच फिर झड़प, घुसपैठ की कोशिश नाकाम
#IndiaChinaFaceOff #IndianArmy @rajnathsingh 
https://t.co/uywxGFhc0O",non-hostile
51,"अमेरिका तक को रास्ता दिखाने वाले दिल्ली मॉडल की प्लाज़्मा थेरेपी ने दिल्ली में सैंकड़ों लोगों की जान बचाई है। इंसानियत और भाईचारे का संदेश देती परमजीत जी की ये कहानी आपको ज़रूर प्रेरित करेगी। 

#DonatePlasmaSaveLives https://t.co/FmCuQMN7Ix",non-hostile
5633,"10 वर्षीय बच्चे का जूता, जो पूरे भारत और भारतीय शासकों के लिए सबसे बड़ा खतरा था, जिसके लिए सबसे बड़ा लोकतांत्रिक देश कश्मीर में ऐसे निर्दोष बच्चों को मारने के लिए हज़ारों सशस्त्र बलों को भेज रहा है।

",fake
734,"#RescueIndiaFromBJP
कांग्रेस के कुत्तों ने एक नारा दिया था इंदिरा ही इंडिया","defamation,offensive"
246,"सुल्तान शेख मोहम्मद ने अबू धाबी में, प्रधान मंत्री नरेंद्र मोदी से अपने वादे के अनुसार पहला हिंदू मंदिर बनवाया । सुल्तान की पत्नी बेग़म सिर पर पवित्र रामायण की प्रति लेकर मंदिर की ओर जा रही हैं, और साथ में सुल्तान शेख मोहम्मद, राम कथा वाचक मोरारी बापू भी दिखाई दे रहे हैं । सच में अद्भुत दृश्य । यह एक दुर्लभ चित्र है।

",fake
1808,"साधना पहली बार 1955 में आई राज कपूर की फिल्म ‘श्री 420’ में नजर आई थीं

#Bollywood #SadhanaShivdasani

https://t.co/smUROhgkKX",non-hostile
180,"मोदीजी और जब सारा देश सेना के साथ खडी है,

पर दो सयाने विदेश मे पडे है?🤔 इसलिए बोलते हैं विदेशी मां का बेटा कभी देशभक्त नहीं हो सकता👍",hate
1342,"अनुच्छेद 370 व 35A के निरस्तीकरण के बाद विकास के नए आयाम स्थापित करता नया जम्मू-कश्मीर।
जम्मू और कश्मीर में विद्युत कनेक्टिविटी में सुधार हुआ है।
श्रीनगर में बिजली के बुनियादी ढांचे में सुधार के लिए 270 करोड़ रुपये की लागत से 6 परियोजनाएं शुरू की गई हैं।

#OneYearOfNoArticle370 https://t.co/09fkgOKDF7",non-hostile
18,"पूर्व प्रधानमंत्री डॉ. मनमोहन सिंह ने 10 राजाजी मार्ग पहुंचकर पूर्व राष्ट्रपति प्रणव मुखर्जी को श्रद्धांजलि दी

#PranabMukherjee https://t.co/egBXvOgC1w",non-hostile
2277,"सोचिए...
पीएम पद के लिए मोदी ठीक है या अंबानी !

एक ने देश को कंगाल बनाया..
दूसरा कंगाल देश का खरीददार
एक ने 23.9% जीडीपी गिरायी..
दूसरे ने 10% टर्नओवर बढ़ाया...
एक की ताक़त सोशल मीडिया की..
दूसरे की ताक़त पूँजी से नं 1 होने की..",hate
488,गुलज़ार साहब का आपका पसंदीदा शेर कौनसा है?,non-hostile
2590,"यूपीः गाजियाबाद में कार चालक की हत्या का मामला, चार लोग गिरफ्तार

#CarDriver #Murder #Ghaziabad 

https://t.co/zKK6dTN1rU",non-hostile
3033,"आश्चर्य की बात है कि जो लोग महाराष्ट्र और मुंबई का अपमान करते हैं उन्हें केंद्र Y श्रेणी की सुरक्षा दे रहा है। महाराष्ट्र केवल एनसीपी, शिवसेना या कांग्रेस का नहीं बल्कि बीजेपी का भी है। अगर कोई महाराष्ट्र का अपमान करता है तो सभी पार्टियों को निंदा करनी चाहिएः HM, महाराष्ट् https://t.co/CVhTjxWqxR",non-hostile
5417,सोच तब क्या होता जब एक भी छात्र परीक्षा ना दे पाता और तेरा मालिक इस सत्र को शून्य करा देता। वैसे तथ्य विचारणीय है ।,defamation
3870,"ISM के इस विद्यार्थी की मृत्यु हो गयी है क्योंके इसके जन्मदिन पर इसके दोस्तों ने इसे कुछ इस तरह बर्थडे बम्प्स दिए के अगले दिन इसके पेट मे दर्द हुआ।पेनक्रियाज क्षतिग्रस्त हो गए। ऑपरेशन हुआ लेकिन जान नही बच सकी। कृपया हर एक जो इस पोस्ट को देखे कृपया कभी ऐसे बम्पस अपने मित्र को न दे जिसकी वजह से वो आपसे हमेशा के लिए आपसे दूर चला जाए इर आप उसे जीवन भर याद कर पछताते रहे। बच्चों के मात पिता जो इस पोस्ट को देखे वह अपने परिवारों को इसके लिए अलर्ट करे। यह घटना मजाक मजाक में आपके परिवार के साथ भी घटित हो सकती है। शेयर करे ।

",fake
2318,"#CSK ने #MSDhoni और टीम के प्रैक्टिस सेशन का एक वीडियो सोशल मीडिया पर शेयर किया है। देखिए...

https://t.co/QHf5N9z7pA",non-hostile
561,देश की स्वतंत्रता के लिए अपनी न्यौछावर करने वाले शहीद राजगुरु जी की जयंती पर शत-शत नमन🙏 https://t.co/pgOuU3Hk3x,non-hostile
3079,"संघर्ष की हुई जीत।

ग्वालियर मंदिर के सामने ठेला लगाने वाले गरीब इंसान को प्रताड़ित करने के विरोध में AAP के पदाधिकारियों ने की थी शिकायत।

शिकायत के बाद निगम अधिकारी को हटाया गया।

आम आदमी के लिए संघर्ष जारी रहेगा।
@AapKaGopalRai @PankajSinghAAP @ManeekshaSingh https://t.co/2HE88WaglO https://t.co/YM2H8sLPwW",non-hostile
2677,"पैंगोंग ही नहीं चिकन नेक पर भी सामरिक बढ़त हासिल करने की फिराक में है चीन
#IndiaChinaBorder #Pangong @PMOIndia @MEAIndia @DefenceMinIndia
https://t.co/q75C0z7fAU",non-hostile
1403,"डेल्‍ही कैपिटल्‍स के सहायक फिजियोथेरेपिस्ट को #कोरोना पॉजिटिव पाया गया है। डेल्‍ही कैपिटल्‍स ने कहा कि वह अपने अनिवार्य क्‍वारंटीन से गुज़र रहे थे और दुबई पहुंचने पर दो परीक्षणों में वह निगेटिव पाए गए लेकिन तीसरी जांच में उनकी रिपोर्ट पॉजिटिव आई। 

#IPL2020",non-hostile
1512,"अब ये तो साबित हो गया की,
चमचे PoK को हिन्दुस्तान का नही पाकिस्तान का हिस्सा मानते है.😡",hate
512,"सीमाओं का सीमांकन न होने से हमेशा होंगी समस्याएं: चीनी विदेश मंत्री
#China
#IndiaChinaFaceOff
#IndiaChinaStandoff 
https://t.co/bcEv9eRsEi",non-hostile
322,"इयोन मॉर्गन ने उंगली टूटने के बावजूद खेलना जारी रखा, फैंस के दिल में बनाई जगह -
#ENGvAUS 

https://t.co/B0hTc4YeKR",non-hostile
1034,"आखिर क्यों TIFR(टाटा इंस्टीटूट),Wuhan Institute of Virology and US Deptt of Defence के साथ #नागालैंड में #चमगादड़ों पर वायरस रिसर्च कर रहा था???
क्या यही वजह है कि टाटा को मोटा दान देना पड़ा
@Swamy39
 जी शायद इस मामले को कोर्ट में ले जाएंगे ","defamation,fake"
1916,सभी महिलाओं को कांग्रेस के कार्यकर्ताओं द्वारा हाथों हाथ आजादी की रकम दी जा रही है ।,defamation
3650,"कोरोना वायरस टेस्‍ट में पॉजिटिव निकला क्रिकेटर, मैच बीच में ही रोककर करना पड़ा रद्द -
#CoronaOutbreak 

https://t.co/RccDtNCTYT",non-hostile
4348,"#BreakingNews | उत्तर पश्चिम दिल्ली क्षेत्र में मुठभेड़ के बाद बब्बर खालसा इंटरनेशनल (BKI) के दो आतंकवादियों को गिरफ्तार, भारी मात्रा में हथियार और गोला-बारूद बरामद https://t.co/2gyIRteiih",non-hostile
4472,"देश की सबसे पुरानी डीटीएच कंपनी डिश टीवी (Dish TV) ने हाल ही में एक नया ऑफर निकाला है. इस ऑफर का फायदा हालांकि उन लोगों को ही मिलेगा, जो डीटीएच का नया कनेक्शन लेंगे.
#DishTV 
https://t.co/hdRMt6WEhK",non-hostile
1670,"पूर्व राष्ट्रपति #PranabMukherjee के निधन पर देश के गणमान्य व्यक्तियों ने अपनी संवेदनाएं जताई

WATCH: https://t.co/oSw9ZQ7SnC https://t.co/R3I4zUAuEA",non-hostile
4274,@RahulGandhi कमिनी कांग्रेस इस किसान के लिये जादा परेशान हे https://t.co/SNjpHLD2KN,"defamation,fake,offensive"
4247,"स्पष्ट रूप से अर्थव्यवस्था को आगे फिसलने से रोकने के लिए, सरकार ने कोल्हापुरी चप्पल बेचने की योजना बनाई है। ",hate
2837,@SauravKumae2 @SushantBSinha सुन बे किसी चीज के विरोध करने की कोई वजह होती है पहले जा के पूरा बिल पढ़ उसके बाद किसी को ज्ञान दे। बाप मरे अंधेरे में बेटा पॉवर हाउस। साले तुम जैसे चंद जाहिल जो NRC का विरोध करते करते दिल्ली को जलवा दिए और आज कृषि मंत्री बनकर बिल पे ज्ञान पेल रहे है । तुम लोग आलू से सोना बनाओ बस,"hate,offensive"
681,शादी तोड़ने के लिए जहाँ किराए पर रखे जाते हैं पार्टनर https://t.co/IIqJtu2Nmi,non-hostile
1927,"क्या एक लड़की के लिए रेलवे को चलानी पड़ी राजधानी एक्सप्रेस?

स्टोरी: रवि प्रकाश, रांची से, बीबीसी हिन्दी के लिए
आवाज़: भूमिका राय https://t.co/7kqEuEjabx",non-hostile
3909,BJP विधायक अनिल उपाध्याय की देश भक्ति वाला डांस बैंकाक में जनता का विकास करते हुऐ वाइरल हुआ है बिडियो खुद देख ले,defamation
3255,"Upsc में हिन्दू बच्चा 6 बार बैठ सकता है जबकि मोमिन 9 बार । 
मित्रों देश के साथ बहुत बड़ी साजिश हो रही है🤔",hate
1142,"उमर खालिद का भाई है अनुराग कश्यप

उमर खालिद के जेल जाने पर दोगला अनुराग कश्यप बहुत बिलबिला रहा था.. अब उसी कमीने पर एक अभिनेत्री ने बलात्कार का आरोप लगाया है,, अब ये भी अपने भाई खालिद के पास जेल जाएगा..

ये वामपंथी गुंडे, दंगाई, बलात्कारी, आतंकी, देशद्रोही सब भाई भाई ही हैं","defamation,fake,offensive"
3348,"RT @Poojameena110: नेहरू जी अय्याश थे"" 😜😃

गोबर भक्त इतने ""कॉन्फिडेंस"" से कहते हैं जैसे उनकी दादी ने पर्सनली वेरिफाई करके बताया हो.
क्यों…",defamation
1570,चम्मचो की जिस तरह पेलाई कर रहा हूँ ये स्पीड ठीक है या थोड़ा और बढ़ाऊ?🤔भाइयों 😂😂❓,defamation
3693,"रिया चक्रवर्ती विषकन्या और भाई शौविक ड्रग डीलर क्या परिवार है....!!
#RheaDrugsChat",fake
1955,"तमिलनाडु के दौरे पर पीएम @narendramodi , आज दक्षिण में करेंगे चुनावी अभियान की शुरुआत
#loksabhaelection2019
https://t.co/MKDEzPjTUc",non-hostile
3461,"सत्ता चाहे कांग्रेस की रही हो या अब भाजपा की हो दोनो में एक बात पूरे प्रदेश में कॉमन है वो है 'लूट'।
देखिये किस प्रकार टोल नाकों में लूटा और धमकाया जा रहा है।
.@ChouhanShivraj .@AapKaGopalRai 
.@AamAadmiParty https://t.co/TevuVilfQZ",non-hostile
1099,"जीएसटी कंपंसेशन पर अड़ा पश्चिम बंगाल, कहा.. पीछे हटने का सवाल ही नहीं उठता
://nbt.in/aldqAZ/omx via @NavbharatTimes",non-hostile
2132,"#JEEFailedPostponeNEET आंख और कान दोनों खोलकर देखो सरकार  देश का भविष्य हो रहा बेवश और लाचार । 
अभी एग्जाम होने से गरीबों और गांव के विद्यार्थी परीक्षा नहीं दे पा रहे हैं बाढ़ के बारिश के कारण।",hate
357,"लॉकडाउन 1 और 2 में ​बुक किए गये घरेलू व अंतरराष्ट्रीय उड़ानों के लिए टिकटों का पूरा पैसा रिफंड किया जाएगा. 
#HindiNews
https://t.co/8QQK5aFWNf",non-hostile
229,यह कमीना आज राज्यसभा में सभापति का जो अपमान किया है उसके लिये इसे इसकी सदस्यता से न सिर्फ़ निष्कासित किया जाये बल्कि इसे ज़िंदगी में किसी भी चुनाव लड़ने पर पाबंदी लगा देना चाहिए । https://t.co/NWd0Jq18TB,offensive
3591,@sunilkushinaga1 आज उत्तर प्रदेश और कश्मीर में फर्जी एनकाउंटर हो रही है कल बिहार में होगी दूसरे दिन  दिल्ली में होगी फिर मध्यप्रदेश में होगी फिर राजस्थान में होगी हरियाणा में होगी चुप रहने की मतलब कायर डरपोक की तरह चुप रहने से अच्छा बोलकर मर जाना अच्छा होता है,"defamation,hate"
59,@KanganaTeam नोसो चूहे खाकर कुतिया हज को चली।,"defamation,fake,hate,offensive"
1423,"कोविड-19 से बचाव हेतु एक प्रतिबंधक उपायों जैसे सफ़र ना करना, सोशल डिस्टन्सिंग का पालन करना इत्यादि की लिस्ट ग़लत तरीक़े से इंडीयन काउन्सिल ऑफ मेडिकल रीसर्च (आई.सी.एम.आर) और दिल्ली के सर गंगा राम हॉस्पिटल से जोड़ी जा रही है ।",fake
1156,"जिन डॉक्टरों ने किया सुशांत का पोस्टमॉर्टम, अब उनसे होंगे सवाल-जवाब
#Video

https://t.co/qt2pLMOIem",non-hostile
5604,"#COVID19VaccineUpdate: कोरोना वैक्सीन सबसे पहले किसे मिलेगी, जानें- वैश्विक स्वास्थ्य विशेषज्ञों का त्रिस्तरीय प्लान
#CoronavirusVaccine #coronavirus 
https://t.co/EXLdkedbcO",non-hostile
1076,"देश की जानी मानी वकील इंदिरा जयसिंह और आनंद ग्रोवर के ठिकानों पर #CBI का छापा

https://t.co/dWNo6Sdf52",non-hostile
1169,"CM नीतीश कुमार के 'निश्चय संवाद' से पहले तेजस्वी यादव ने की सवालों की बौछार, कहा- रैली में जवाब जरूर दें

रिपोर्टः- @kumarprakash4u

#NitishKumar #TejashwiYadav 

https://t.co/IY2Ysd8ow7",non-hostile
370,"@SushilModi मनरेगा टट्टी सृजन घोटाला धान  सड़क पुलिया नाला बांध घोटाला भ्रष्टाचार"" सुनने में आई है नीतीश कुमार तुम अपने जाति वाले को पुलिस में भर्ती किए हो यह भी एक जांच की मामला बन रही है हत्या बलात्कार मर्डर जमीन हड़पना जमीनों पर अवैध कब्जा तू किसी मुद्दे पर 5 मिनट नहीं टिक सकता","defamation,hate"
4320,"जहां कोरोना का संक्रमण नहीं है वहां लोगों को क्या एहतियात रखनी है?

#IndiaFightsCorona #COVID19 
@PIB_India @PrakashJavdekar @shashidigital https://t.co/6QUQgoPHZ0",non-hostile
2376,वे जीना चाहते हैं और हमारे बच्चे मरने के लिए तैयार हैं।,fake
4766,"एक मस्जिद से खाद्य सामग्री बाँटी जा रही थी, कुछ ज़रूरतमंद हिन्दु वहाँ पहुँच गये पर उसको यह कहकर भगा दिया गया की यहाँ पर हिंदुओं के लिये कोई व्यवस्था नहीं है |
","fake,hate"
4042,"RT @MonikaSingh__: बंगला गिरा तो मीडिया छाती पीटने लगी, 

लेकिन जीडीपी गिरी तो गोदी मीडिया को लकवा मार गया।",offensive
3103,@SureshChavhanke तू कुत्ते की पैखाने की बराबर है जिसको जीते भी साफ करो लेकिन बदबु ही आएगी।,offensive
2095,"यह तस्वीर भारतीय सेना द्वारा राजस्थान के एक रेगिस्तान में नियुक्त की गयी एक महिला सैनिक की है |
राजस्थान के तपते रेगिस्तान में पहरा देती भारतीय जवान 

रुक क्यों गए अब बोलो 
जय हिंद
",fake
1324,"रिया चक्रवर्ती ने सुशांत सिंह राजपूत की बहन के खिलाफ शिकायत दर्ज कराई, ये है पूरा मामला

#RheaChakraborty #SushantSinghRajput

https://t.co/9Fb4UwLgzu",non-hostile
16,"BMC की अपील: अगले सात दिनों तक गरम पानी का सेवन करें
",fake
126,"सुशांत केस में सीबीआई जांच का 11वां दिन: रिया चक्रवर्ती से लगातार चौथे दिन पूछताछ की जा रही; आज फिर ड्रग्स से जुड़ा सवाल हो सकता है, एक दिन पहले एक्ट्रेस इस पर भड़क गई थीं https://t.co/K7GMUIul6t #SushantSinghRajput #RheaChakraborty #CBI #GauravArya @Tweet2Rhea",non-hostile
5383,"देखें,  @AaronFinch5 के खिलाफ DRS मांग शर्मिंदा हुए इंग्लिश खिलाड़ी

https://t.co/uLcxOUczy8 

#josbuttler #ENGvsAUS #AusvsEng #DRS #Aaronfinch #josbuttler https://t.co/iORVZX0AKV",non-hostile
2273,मैं सभी से अनुरोध करता हूं कि इस ऑडियो को एक बार जरूर सुने। #कोविड-19 के बारे में डॉ शेट्टी सर कुछ महत्वपूर्ण बात कह रहे हैं।,fake
1323,"देख लो आंख खोल के, देश भक्ति 
इंदिरा गांधी जी गलवान वैली में सैनिकों के साथ, उनकी हौसला को कम होने नही दिया. ऐसे वीर को मेरा सलाम है #आयरन_लेडी 👏👏👏👏",fake
3077,"लोग मुझे बोलते हैं योगी भक्त हो गये हो'' 
मैं बोला भगवाधारी  मुख्यमंत्री का भक्त हूँ...!!
 किसी टोटी चोर नेता का गुलाम नहीं''",defamation
436,@thewirehindi मानव अंग तस्करी हो सकती है,non-hostile
804,"प्रभु श्रीराम की जन्मस्थली पर मंदिर निर्माण, श्री गोरक्षपीठ के अभीष्ट लक्ष्यों में प्रथम था।

अब यह पुण्यकार्य प्रारंभ हो गया है।

ब्रह्मलीन महंत दिग्विजयनाथ जी महाराज की 51वीं एवं ब्रह्मलीन महंत अवेद्यनाथ जी महाराज की 6वीं पुण्यतिथि के अवसर पर यह उनको सर्वश्रेष्ठ श्रद्धांजलि है। https://t.co/n4qBL4xKmk",non-hostile
1037,समझिए भारत की GDP बीते दो सालों में कहां से कहां पहुंच गई... https://t.co/RKeUlAwwA7,non-hostile
166,सुप्रीम कोर्ट ने जो पांच एकड़ जमीन दी थी.. सुन्नी वक्फ़ बोर्ड ने लिया फैसला.. उस पर बनेगा बाबरी हास्पिटल जो AIIMS के बराबर मुफ्त सुविधा देगा.जाने माने डाक्टर #KafilKhan को इस अस्पताल का प्रसासक बनाया जा सकता है.. इस अस्पताल में एक पूरा फ्लोर बच्चों के लिए आरक्षित होगा.. जिसमें चमकी बुखार(Viral Megningits) सहित कई बिमारियों का ईलाज होगा,fake
1103,"अप्रैल-जून तिमाही में भारत की जीडीपी में 23.9 फीसदी की भारी गिरावट | #GDP
https://t.co/zD0cupjaGc",non-hostile
1555,"स्कूल व कॉलेज अब नहीं खुलेंगे | 2021 में खुल सकते हैं स्कूल व कॉलेज | बड़ी खबर | 2 हफ्ते में 97 हज़ार विद्यार्थी संक्रमित हुए | : - केंद्रीय शिक्षा विभाग ' |

",fake
4410,राष्ट्रीय कृषि विकास योजना के अंतर्गत अनुसूचित जाति आबादी वाले गांव में जल संचयन संरचनाओं का निर्माण तथा हल्दी प्रसंस्करण इकाई के माध्यम से अनुसूचित जाति के किसानों को आत्मनिर्भर बनाने के लिए प्रशिक्षण देने के साथ ही फसल बीमा योजना का लाभ भी दिया जा रहा है।,non-hostile
756,"दीवारों को नमी से कैसे बचाएं: नमी से हो सकती हैं सांस की परेशानी, घर के अंदर ताजी हवा का सर्कुलेशन बढ़ाएं; 6 तरीकों से पाएं सीलन से निजात https://t.co/U9Fe6UZt4m #FreshAir #CleanAir",non-hostile
414,"कोरोना काल में कुछ इस तरह किए गए हैं #NEET2020 की परीक्षाओं के इंतज़ाम  
#Coronavirus 
https://t.co/HD4Vqm9Wfc",non-hostile
995,"जो महाराष्ट्र में हो रहा है, यही आदिवासियों के साथ होता है तब आप क्या कहते 
दलाल मिडिया ?

पूछता है भारत",offensive
543,"सुशांत पर सत्य के खिलाफ 
सनसनी वाली पत्रकारिता क्यों ?

देखिए देशहित 8:25 PM @ZeeNews पर @AmanChopra_ के साथ https://t.co/7xWeivFI94",non-hostile
1026,"🇮🇳 *15 अगस्त स्वतंत्रता दिवस के अवसर पर तिरंगे को छोड़कर,भीमटो ने नीला झंडा फहराया,पुलिस पहुंच गई और अपना डंडा लहराने लगी।*
😊☺️😆😂👌👍🏻👊🏻👇🏻",fake
2421,"एमपी में गणेश पंडाल से करोना फैलेगा
ओर क्या बीजेपी के पंडाल से  कोरोनावायरस मुजरा करेगा","defamation,offensive"
3095,"एक आदमी - हे भगवान दंगा करने वाले लोगों को हिंदू कर दे,

राहगीर - ये क्या बक रहा है बे तु,

आदमी - मैं पत्रकार हूं जनाब काम धंधे में बरकत की दुआ मांग रहा हूँ।",offensive
1626,"कंगना और महाराष्ट्र सरकार की लड़ाई, मंत्री ने बताया 'देशद्रोही'
#Video

https://t.co/TXCuUXhHQb",non-hostile
4690,सर रेटिंग और बड़ जाए तो #खाक_ए_रत्न के लिए प्रोमोट किया जा सकता है ओउल को 😂😂😛😛😀,hate
504,"पूर्ण और आखिरी एकीकरण

हम संविधान के अनुच्छेद 370 को समाप्त कर देंगे, जो राज्य के पूर्ण और अंतिम एकीकरण के लिए जम्मू और कश्मीर को एक अलग और अलगाववादी आधार पर खड़ा करता है।

- भाजपा चुनावी घोषणा पत्र, 1996

#OneYearOfNoArticle370 https://t.co/5G3POrtm5R",non-hostile
753,"मुसलमान मुख्यमंत्री नहीं बनेगा चारधाम श्राइन बोर्ड का अध्यक्ष, उत्तराखंड कैबिनेट ने पास किया प्रस्ताव।
उत्तराखंड कैबिनेट ने बुधवार (27 नवंबर) को राज्य में चार धाम से संबंधित एक प्रस्ताव पास किया। प्रस्ताव में चार धाम के अलावा अन्य 51 मंदिरों के प्रबंधन का भी उल्लेख है। 👇👇👇","defamation,offensive"
1018,कुछ लोगों ने घर में घुसकर अलका लांबा को पीटा,fake
2407,"#ReportForSSR | मीडिया की आवाज़ को खामोश करने का मतलब, जनता की आवाज़ को दबाना है। ऐसा तभी होता है जब किसी व्यक्ति विशेष या सरकार को मीडिया से ख़तरा महसूस होने लगता है।: अभिनेता शेखर सुमन 

देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर LIVE : https://t.co/SDGVEbtJgs https://t.co/7h6aHUgJS8",non-hostile
3594,"प्रशासन ने अधिकारियों की टीम भेजकर जांच अभियान किया तेज
#CoronavirusCrisis #UttarPradesh 

https://t.co/aFnpeouqJ7",non-hostile
487,"चूर हुआ चीन का गुरूर, भारत से मुंह की खाने के बाद मानी गलवान में घुसपैठ की बात
https://t.co/nMncF82zdD",non-hostile
2993,"केंद्र ने SC को बताया, RBI सर्कुलर के तहत लोन मोरेटोरियम को दो साल के लिए 'बढ़ाया जा सकता है'
https://t.co/dptK9RbHa8",non-hostile
200,"बिहार: जहानाबाद के लाल ने गंवाई देश की सीमा पर अपनी जान, ऑक्सीजन की कमी की वजह से हुई मौत

जहानाबाद से रंजीत राजन की रिपोर्ट

#China #Ladakh #Jehanabad 

https://t.co/jxaQKN9AI5",non-hostile
